2022-05-21 12:33:22.112301 | Sorting Done!!! 
2022-05-21 12:38:30.080581 | Importing data==>79435f784571ade9 
2022-05-21 12:38:57.323210 | Importing data==>79435f784571ade9 
2022-05-21 12:39:38.480018 | Importing data==>79435f784571ade9 
2022-05-21 12:40:07.814575 | Importing data==>79435f784571ade9 
2022-05-21 12:40:37.082510 | Importing data==>79435f784571ade9 
2022-05-21 12:41:17.275340 | Importing data==>79435f784571ade9 
2022-05-21 12:54:15.394298 | Importing data==>79435f784571ade9 
2022-05-21 13:53:41.745364 | Importing data==>79435f784571ade9 
2022-05-21 13:55:20.964675 | Importing data==>79435f784571ade9 
2022-05-21 13:56:04.560859 | Importing data==>79435f784571ade9 
2022-05-21 13:56:35.859083 | Importing data==>79435f784571ade9 
2022-05-21 13:56:36.080013 | Segment==>0 
2022-05-21 13:57:08.588877 | Importing data==>79435f784571ade9 
2022-05-21 13:57:08.756455 | Segment==>0 
2022-05-21 13:57:23.597872 | Importing data==>79435f784571ade9 
2022-05-21 13:57:23.772441 | Segment==>0 
2022-05-21 13:57:43.114356 | Importing data==>79435f784571ade9 
2022-05-21 13:57:43.288013 | Segment==>0 
2022-05-21 13:57:56.365826 | Pre-filtered data import 
2022-05-21 13:57:56.368669 | Pre-filtered data import completed!!! 
2022-05-21 13:57:56.368708 | Appending Done!!! 
2022-05-21 13:57:56.369359 | Sorting Done!!! 
2022-05-21 13:58:11.649952 | Importing data==>79435f784571ade9 
2022-05-21 13:58:11.821182 | Segment==>0 
2022-05-21 13:58:24.493245 | Pre-filtered data import 
2022-05-21 13:58:24.493303 | Pre-filtered data import completed!!! 
2022-05-21 13:58:24.493328 | Appending Done!!! 
2022-05-21 13:58:24.493751 | Sorting Done!!! 
2022-05-21 13:58:24.513213 | Data saved 
================================================================== 
2022-05-21 13:58:24.609808 | Importing data==>f66e251ee7c7dbae 
2022-05-21 13:58:24.748731 | Segment==>0 
2022-05-21 13:58:35.959410 | Pre-filtered data import 
2022-05-21 13:58:35.959473 | Pre-filtered data import completed!!! 
2022-05-21 13:58:35.959617 | Appending Done!!! 
2022-05-21 13:58:35.960032 | Sorting Done!!! 
2022-05-21 13:58:35.977469 | Data saved 
================================================================== 
2022-05-21 13:58:36.861845 | Importing data==>9b09051ccc1f3dc4 
2022-05-21 13:58:37.007100 | Segment==>0 
2022-05-21 13:58:50.146190 | Pre-filtered data import 
2022-05-21 13:58:50.146258 | Pre-filtered data import completed!!! 
2022-05-21 13:58:50.146397 | Appending Done!!! 
2022-05-21 13:58:50.146826 | Sorting Done!!! 
2022-05-21 13:58:50.162866 | Data saved 
================================================================== 
2022-05-21 14:12:24.446835 | Importing data==>79435f784571ade9 
2022-05-21 14:12:24.665588 | Segment==>0 
2022-05-21 14:12:37.727481 | Pre-filtered data import 
2022-05-21 14:12:37.731983 | Pre-filtered data import completed!!! 
2022-05-21 14:12:37.732027 | Appending Done!!! 
2022-05-21 14:12:37.732976 | Sorting Done!!! 
2022-05-21 14:12:37.743006 | Data saved 
================================================================== 
2022-05-21 14:12:37.840683 | Importing data==>f66e251ee7c7dbae 
2022-05-21 14:12:37.981089 | Segment==>0 
2022-05-21 14:12:49.605981 | Pre-filtered data import 
2022-05-21 14:12:49.606045 | Pre-filtered data import completed!!! 
2022-05-21 14:12:49.606216 | Appending Done!!! 
2022-05-21 14:12:49.606649 | Sorting Done!!! 
2022-05-21 14:12:49.614979 | Data saved 
================================================================== 
2022-05-21 14:12:50.752194 | Importing data==>9b09051ccc1f3dc4 
2022-05-21 14:12:50.907225 | Segment==>0 
2022-05-21 14:13:03.984585 | Pre-filtered data import 
2022-05-21 14:13:03.984656 | Pre-filtered data import completed!!! 
2022-05-21 14:13:03.984803 | Appending Done!!! 
2022-05-21 14:13:03.985225 | Sorting Done!!! 
2022-05-21 14:13:03.995727 | Data saved 
================================================================== 
2022-05-21 14:17:00.135227 | Importing data==>79435f784571ade9 
2022-05-21 14:17:00.365151 | Segment==>0 
2022-05-21 14:17:12.745816 | Pre-filtered data import 
2022-05-21 14:17:12.746006 | Pre-filtered data import completed!!! 
2022-05-21 14:17:12.746037 | Appending Done!!! 
2022-05-21 14:17:12.746719 | Sorting Done!!! 
2022-05-21 14:17:12.754921 | Data saved 
================================================================== 
2022-05-21 14:17:12.851302 | Importing data==>f66e251ee7c7dbae 
2022-05-21 14:17:12.967100 | Segment==>0 
2022-05-21 14:17:23.916440 | Pre-filtered data import 
2022-05-21 14:17:23.916506 | Pre-filtered data import completed!!! 
2022-05-21 14:17:23.916648 | Appending Done!!! 
2022-05-21 14:17:23.917081 | Sorting Done!!! 
2022-05-21 14:17:23.934334 | Data saved 
================================================================== 
2022-05-21 14:17:24.754785 | Importing data==>9b09051ccc1f3dc4 
2022-05-21 14:17:24.894153 | Segment==>0 
2022-05-21 14:17:37.594342 | Pre-filtered data import 
2022-05-21 14:17:37.594410 | Pre-filtered data import completed!!! 
2022-05-21 14:17:37.594550 | Appending Done!!! 
2022-05-21 14:17:37.594981 | Sorting Done!!! 
2022-05-21 14:17:37.604284 | Data saved 
================================================================== 
2022-05-21 14:18:38.053456 | Importing data==>37905f086c46d416 
2022-05-21 14:18:38.270182 | Segment==>0 
2022-05-21 14:29:05.777990 | Importing data==>37905f086c46d416 
2022-05-21 14:29:05.972608 | Segment==>0 
2022-05-21 14:29:26.607883 | Importing data==>37905f086c46d416 
2022-05-21 14:29:26.770334 | Segment==>0 
2022-05-21 14:39:35.206946 | Segment==>5000 
2022-05-21 14:49:37.283941 | Segment==>10000 
2022-05-21 15:00:18.354507 | Segment==>15000 
2022-05-21 15:05:39.914876 | Pre-filtered data import 
2022-05-21 15:05:39.914947 | Pre-filtered data import completed!!! 
2022-05-21 15:05:39.914977 | Appending Done!!! 
2022-05-21 15:05:39.924040 | Sorting Done!!! 
2022-05-21 15:05:41.089379 | Data saved 
================================================================== 
2022-05-21 15:05:41.481585 | Importing data==>79435f784571ade9 
2022-05-21 15:05:41.633382 | Segment==>0 
2022-05-22 11:04:20.470544 | Importing data==>37905f086c46d416 
2022-05-22 11:04:20.653634 | Segment==>0 
2022-05-22 11:10:25.841768 | Importing data==>37905f086c46d416 
2022-05-22 11:10:25.997637 | Segment==>0 
2022-05-22 11:10:57.024655 | Importing data==>37905f086c46d416 
2022-05-22 11:10:57.181766 | Segment==>0 
2022-05-22 11:11:11.695724 | Importing data==>37905f086c46d416 
2022-05-22 11:11:11.835795 | Segment==>0 
2022-05-22 11:11:30.335710 | Importing data==>37905f086c46d416 
2022-05-22 11:11:30.496702 | Segment==>0 
2022-05-22 11:11:37.798083 | Importing data==>37905f086c46d416 
2022-05-22 11:11:37.954473 | Segment==>0 
2022-05-22 11:40:14.805077 | Importing data==>37905f086c46d416 
2022-05-22 11:40:14.969974 | Segment==>0 
2022-05-22 11:41:55.515311 | Importing data==>37905f086c46d416 
2022-05-22 11:41:55.676056 | Segment==>0 
